space_id,space_name,domain,space_attribution_status,strategy_families_available,market_count,relationship_count,strict_relationship_count,exploratory_relationship_count,diagnostic_only_relationship_count,price_history_coverage_pct,aligned_tick_count,gross_violation_count,net_violation_count,accepted_trade_count,raw_fill_count,unique_violation_window_count,distinct_relationships_traded,distinct_bundles_traded,simulated_pnl,max_drawdown,total_slippage,avg_edge,median_edge,best_edge,worst_trade_pnl,best_trade_pnl,primary_blocker,secondary_blocker,suspicious_flag_count,accepted_trade_suspicious_flag_count,completeness_status,known_total_candidates,dominant_relationship_share_of_pnl,space_grade,recommended_next_action,dominant_trade_share_of_pnl,gross_opportunity_rows,integrity_warning,net_opportunity_rows,raw_replay_fills
2026_colombian_presidential_election_candidate_winner,2026_colombian_presidential_election_candidate_winner,,outcome_space,none;pairwise_mutual_exclusion,0,158,153,0,5,1.0,0,487,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,unknown,,0.0,B_PROMISING_GATE_BLOCKED,Gross violations exist but no blocker identified — check alignment and run exploratory preset.,0.0,487,,0,0
2026_colombian_presidential_election_first_round,2026_colombian_presidential_election_first_round,,outcome_space,none;pairwise_mutual_exclusion,0,275,137,0,139,1.0,0,1008,760,0,13878,0,0,771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,unknown,,0.0,B_PROMISING_GATE_BLOCKED,Gross violations exist but no blocker identified — check alignment and run exploratory preset.,0.0,1008,,760,13878
2026_nhl_stanley_cup,2026_nhl_stanley_cup,,outcome_space,pairwise_mutual_exclusion,0,13,13,0,0,1.0,0,3297,3202,0,1736,0,0,217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,unknown,,0.0,B_PROMISING_GATE_BLOCKED,Gross violations exist but no blocker identified — check alignment and run exploratory preset.,0.0,3297,,3202,1736
2028_democrats_presidential_nomination,2028_democrats_presidential_nomination,,outcome_space,none;pairwise_mutual_exclusion,0,1212,99,0,266,1.0,0,524,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,unknown,,0.0,B_PROMISING_GATE_BLOCKED,Gross violations exist but no blocker identified — check alignment and run exploratory preset.,0.0,524,,0,0
2028_republicans_presidential_nomination,2028_republicans_presidential_nomination,,outcome_space,none;pairwise_mutual_exclusion,0,594,150,0,2,1.0,0,351,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,unknown,,0.0,B_PROMISING_GATE_BLOCKED,Gross violations exist but no blocker identified — check alignment and run exploratory preset.,0.0,351,,0,0
2028_us_presidential_election,2028_us_presidential_election,,outcome_space,none,0,72,0,0,0,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,unknown,,0.0,D_VALID_BUT_STRATEGICALLY_WEAK,Low priority — relationships exist and have price coverage but no signal observed.,0.0,0,,0,0
2028_us_presidential_election_candidate_winner,2028_us_presidential_election_candidate_winner,,outcome_space,none;pairwise_mutual_exclusion,0,653,630,0,23,1.0,0,371,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,unknown,,0.0,B_PROMISING_GATE_BLOCKED,Gross violations exist but no blocker identified — check alignment and run exploratory preset.,0.0,371,,0,0
2028_us_presidential_election_party_winner,2028_us_presidential_election_party_winner,,outcome_space,party_inverse,0,1,0,0,0,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,unknown,,0.0,D_VALID_BUT_STRATEGICALLY_WEAK,Low priority — relationships exist and have price coverage but no signal observed.,0.0,0,,0,0
finish_position,finish_position,,outcome_space,none,0,35,0,0,35,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,unknown,,0.0,E_INVALID_OR_AUDIT_RISK,Repair taxonomy/templates — space is dominated by diagnostic-only relationships.,0.0,0,,0,0
gta_vi_reference_clock,gta_vi_reference_clock,,outcome_space,none,0,38,0,0,28,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,unknown,,0.0,E_INVALID_OR_AUDIT_RISK,Repair taxonomy/templates — space is dominated by diagnostic-only relationships.,0.0,0,,0,0
june_2026_reference_clock,june_2026_reference_clock,,outcome_space,none,0,1,0,0,1,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,unknown,,0.0,E_INVALID_OR_AUDIT_RISK,Repair taxonomy/templates — space is dominated by diagnostic-only relationships.,0.0,0,,0,0
nba_eastern_conference_winner,nba_eastern_conference_winner,,outcome_space,none,0,10,0,0,7,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,unknown,,0.0,E_INVALID_OR_AUDIT_RISK,Repair taxonomy/templates — space is dominated by diagnostic-only relationships.,0.0,0,,0,0
nba_finals,nba_finals,,outcome_space,nesting;pairwise_mutual_exclusion,0,18,18,0,0,1.0,0,3253,3153,0,602,0,0,86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,unknown,,0.0,B_PROMISING_GATE_BLOCKED,Gross violations exist but no blocker identified — check alignment and run exploratory preset.,0.0,3253,,3153,602
nba_western_conference_winner,nba_western_conference_winner,,outcome_space,none,0,6,0,0,0,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,unknown,,0.0,D_VALID_BUT_STRATEGICALLY_WEAK,Low priority — relationships exist and have price coverage but no signal observed.,0.0,0,,0,0
next_actor_announced,next_actor_announced,,outcome_space,pairwise_mutual_exclusion,0,105,0,0,0,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,unknown,,0.0,D_VALID_BUT_STRATEGICALLY_WEAK,Low priority — relationships exist and have price coverage but no signal observed.,0.0,0,,0,0
