market_id,question,confidence,ambiguity,market_type,flags,needs_review,model,prompt_version
567689,Zelenskyy out as Ukraine president by end of 2026?,0.9000,0.5062,binary,"['Temporal resolution is vague', 'Resolution depends on cessation of presidency, which may be ambiguous in certain scenarios', 'vague_deadline']",True,deepseek-r1:8b,market_semantics_v1
566760,Will Trump pardon Ghislaine Maxwell by end of 2026?,0.8500,0.5094,binary,"['Temporal resolution is vague', ""Definition of 'credible reporting' is not specified"", 'vague_deadline']",True,deepseek-r1:8b,market_semantics_v1
559651,Xi Jinping out before 2027?,0.8500,0.2208,binary,"[""Definition of 'credible reporting'"", ""Interpretation of 'removed from power'""]",True,deepseek-r1:8b,market_semantics_v1
560317,"Putin out as President of Russia by December 31, 2026?",0.8500,0.2208,binary,"[""Definition of 'cease to be President'"", ""What constitutes 'permanently prevented'""]",True,deepseek-r1:8b,market_semantics_v1
573656,"Will Bitcoin hit $150k by December 31, 2026?",0.9500,0.2125,binary,"['Price volatility', 'Market manipulation risk']",True,deepseek-r1:8b,market_semantics_v1
561994,Will Kristi Noem win the 2028 Republican presidential nomination?,0.8000,0.2250,binary,"['Acceptance of the nomination is not explicitly defined', ""Definition of 'win' may be ambiguous""]",True,deepseek-r1:8b,market_semantics_v1
561264,Will Pete Hegseth win the 2028 US Presidential Election?,0.8500,0.2208,binary,"[""The definition of 'winning' might depend on the sources' criteria"", 'The market resolution depends on multiple sources reaching consensus']",True,deepseek-r1:8b,market_semantics_v1
561263,Will Eric Trump win the 2028 US Presidential Election?,0.9000,0.2167,binary,"['Multiple sources required', 'Conditional on media declarations']",True,deepseek-r1:8b,market_semantics_v1
561254,Will Kim Kardashian win the 2028 US Presidential Election?,0.8000,0.2125,binary,"[""The market depends on media sources' calls, which may be delayed or incorrect""]",True,deepseek-r1:8b,market_semantics_v1
561234,Will Marco Rubio win the 2028 US Presidential Election?,0.9000,0.2000,binary,"['The market resolution depends on the three sources calling the race, not necessarily on the actual election outcome']",True,deepseek-r1:8b,market_semantics_v1
561232,Will Pete Buttigieg win the 2028 US Presidential Election?,0.8500,0.2208,binary,"[""The market resolution depends on media sources' calls, which may be delayed or incorrect"", ""The market may resolve based on inauguration if sources don't call""]",True,deepseek-r1:8b,market_semantics_v1
559664,Will Raphael Warnock win the 2028 Democratic presidential nomination?,0.8000,0.2250,binary,"[""The market does not specify what constitutes 'winning' the nomination"", ""The market does not specify what constitutes 'accepting' the nomination""]",True,deepseek-r1:8b,market_semantics_v1
559662,Will Mark Cuban win the 2028 Democratic presidential nomination?,0.9000,0.2000,binary,"['Temporal ambiguity: Nomination acceptance must be by a specific deadline, but not specified']",True,deepseek-r1:8b,market_semantics_v1
559661,Will Jon Ossoff win the 2028 Democratic presidential nomination?,0.8000,0.2250,binary,"[""The market does not specify what constitutes 'winning' the nomination"", 'The market does not specify the exact date for the nomination acceptance']",True,deepseek-r1:8b,market_semantics_v1
565065,Will the Democrats win the 2028 US Presidential Election?,0.9000,0.2000,binary,"['The market resolves based on source calls, not actual election outcome']",True,deepseek-r1:8b,market_semantics_v1
562002,Will Erika Kirk win the 2028 Republican presidential nomination?,0.8000,0.2250,binary,"[""The market does not specify what constitutes 'winning' the nomination before acceptance"", 'The market does not specify if the acceptance must be official or public']",True,deepseek-r1:8b,market_semantics_v1
561996,Will Tucker Carlson win the 2028 Republican presidential nomination?,0.8000,0.2250,binary,"['The market does not specify what constitutes an official source', 'Acceptance of the nomination may be ambiguous if it occurs after the convention but before the market resolves']",True,deepseek-r1:8b,market_semantics_v1
561250,Will Elon Musk win the 2028 US Presidential Election?,0.8500,0.2208,binary,"['Elon Musk may not be a candidate', 'Potential for multiple candidates or recounts']",True,deepseek-r1:8b,market_semantics_v1
