market_id,question,confidence,ambiguity,market_type,flags,needs_review,model,prompt_version
578527,Will Aston Villa win the 2025-26 UEFA Europa League?,0.9000,0.5062,binary,"['Mathematical elimination condition', 'Cancellation condition', 'vague_deadline']",True,deepseek-r1:8b,market_semantics_v1
578530,Will Freiburg win the 2025-26 UEFA Europa League?,0.9000,0.5167,binary,"[""The market resolves to 'No' if the team is mathematically eliminated, which is a sufficient condition for 'No' but not necessarily the only way."", 'vague_deadline']",True,deepseek-r1:8b,market_semantics_v1
562190,Will Wesley Hunt win the 2026 Texas Republican Primary?,0.9500,0.5125,binary,"[""The market resolves to 'Other' if the primary does not occur, which is a separate outcome not covered by YES/NO."", 'vague_deadline']",True,deepseek-r1:8b,market_semantics_v1
562187,Will John Cornyn win the 2026 Texas Republican Primary?,0.9000,0.5167,binary,"[""The market resolves to 'Other' if no primary takes place."", 'vague_deadline']",True,deepseek-r1:8b,market_semantics_v1
562186,Will Ken Paxton win the 2026 Texas Republican Primary?,0.9000,0.5167,binary,"[""The market resolves to 'Other' if no primary takes place."", 'vague_deadline']",True,deepseek-r1:8b,market_semantics_v1
562189,Will Beth Van Duyne win the 2026 Texas Republican Primary?,0.9000,0.5062,binary,"['Primary date is fixed to 2026', 'Winner determination may depend on vote counting rules', 'vague_deadline']",True,deepseek-r1:8b,market_semantics_v1
562188,Will Dawn Buckingham win the 2026 Texas Republican Primary?,0.8500,0.2208,binary,"['Primary date is not fixed', 'Winner determination may depend on party rules']",True,deepseek-r1:8b,market_semantics_v1
577181,Will Bruno Fernandes be the top goal scorer in the 2025–26 English Premier League season?,0.9500,0.2125,binary,"['Tie-breaking rule based on last name alphabetical order.', ""Definition of 'completed' season (e.g., partial season).""]",False,deepseek-r1:8b,market_semantics_v1
577162,Will Viktor Gyokeres be the top goal scorer in the 2025–26 English Premier League season?,0.9000,0.2167,binary,"[""The market resolves to 'No' if there is a tie, but the winner is determined by alphabetical order of last names, which may not directly relate to the question."", ""The market resolves to 'Other' if the season is canceled or incomplete by August 1, 2026, which is a specific date constraint.""]",True,deepseek-r1:8b,market_semantics_v1
577161,Will Mohamed Salah be the top goal scorer in the 2025–26 English Premier League season?,0.9000,0.2167,binary,"['Tie-breaking rule based on last name alphabetical order.', ""Definition of 'completed' season.""]",True,deepseek-r1:8b,market_semantics_v1
572834,Will Burnley finish in last place in the 2025-26 English Premier League?,0.9000,0.2167,binary,"['Season cancellation', 'Mathematical impossibility']",True,deepseek-r1:8b,market_semantics_v1
572833,Will Wolves finish in last place in the 2025-26 English Premier League?,0.9500,0.5125,binary,"['Mathematical impossibility triggers No', 'vague_deadline']",True,deepseek-r1:8b,market_semantics_v1
572770,Will Manchester United finish in 3rd place in the 2025-26 English Premier League?,0.9500,0.1938,binary,"[""The market resolves to 'No' if it becomes impossible for Manchester United to finish 3rd, which is a sufficient condition for 'No' but not necessary.""]",False,deepseek-r1:8b,market_semantics_v1
582144,Will Bournemouth finish in the top 4 of the EPL 2025–26 standings?,0.9000,0.5062,binary,"['Tiebreaker procedures may vary and are not explicitly defined here.', 'Season cancellation condition is specific to October 1, 2026, which is vague.', 'vague_deadline']",True,deepseek-r1:8b,market_semantics_v1
577193,Will Igor Thiago be the top goal scorer in the 2025–26 English Premier League season?,0.9500,0.2125,binary,"['Tie-breaking rule based on alphabetical order of last names may be subjective.', ""Definition of 'sole top goal scorer' may be ambiguous in case of ties.""]",False,deepseek-r1:8b,market_semantics_v1
577178,Will Jarrod Bowen be the top goal scorer in the 2025–26 English Premier League season?,0.9000,0.2250,binary,"['Tie-breaking method based on last name alphabetical order.', ""Definition of 'sole top goal scorer' in case of ties."", 'Exclusion of goals from other competitions.']",True,deepseek-r1:8b,market_semantics_v1
572733,Will Arsenal finish in 2nd place in the 2025-26 English Premier League?,0.9000,0.2000,binary,"[""The market resolves to 'No' if the club is mathematically eliminated, which is a sufficient condition for 'No' but not necessary.""]",True,deepseek-r1:8b,market_semantics_v1
582139,Will Aston Villa finish in the top 4 of the EPL 2025–26 standings?,0.9000,0.5062,binary,"['Tie-breaking procedures may introduce ambiguity', 'Season cancellation condition is vague', 'vague_deadline']",True,deepseek-r1:8b,market_semantics_v1
577188,Will Cody Gakpo be the top goal scorer in the 2025–26 English Premier League season?,0.9000,0.2167,binary,"['Tie-breaking rule based on last name alphabetical order', ""Definition of 'finish as the sole top goal scorer' may be ambiguous if there are multiple players with the same highest goal count""]",True,deepseek-r1:8b,market_semantics_v1
577184,Will Thierno Barry be the top goal scorer in the 2025–26 English Premier League season?,0.9500,0.5031,binary,"['Tie-breaking based on alphabetical order of last names', ""Definition of 'sole top goal scorer' in case of ties"", 'vague_deadline']",True,deepseek-r1:8b,market_semantics_v1
577177,Will Bryan Mbeumo be the top goal scorer in the 2025–26 English Premier League season?,0.9000,0.2167,binary,"['Tie-breaking condition based on alphabetical order of last names.', ""Definition of 'sole top goal scorer' may be ambiguous in case of multiple players with the same goals.""]",True,deepseek-r1:8b,market_semantics_v1
577170,Will Dominic Solanke be the top goal scorer in the 2025–26 English Premier League season?,0.9000,0.2167,binary,"['Tie-breaking rule based on alphabetical order of last names.', ""Definition of 'season completed' is not explicitly defined beyond August 1, 2026 cutoff.""]",True,deepseek-r1:8b,market_semantics_v1
577168,Will Ollie Watkins be the top goal scorer in the 2025–26 English Premier League season?,0.9500,0.2125,binary,"['The market resolves to the player with the last name first alphabetically if there is a tie, which may affect the outcome for other players.', ""The definition of 'finish as the sole top goal scorer' is clear, but the tie-breaking rule might introduce ambiguity for other markets.""]",False,deepseek-r1:8b,market_semantics_v1
572765,Will Liverpool finish in 3rd place in the 2025-26 English Premier League?,0.9000,0.2167,binary,"['Season cancellation', 'Mathematical impossibility']",True,deepseek-r1:8b,market_semantics_v1
