source_file,source_section,rows,columns,included,note
reports/master_audit/20260515_124659/action_items.csv,master_audit/action_items,2,"[""issue"", ""severity"", ""file_or_command"", ""recommended_fix"", ""blocking_credible_backtest""]",True,
reports/master_audit/20260515_124659/context_rules.csv,master_audit/context_rules,7,"[""context_rule_id"", ""context_space_id"", ""rule_type"", ""rule_family"", ""role"", ""human_review_status"", ""needs_manual_review"", ""relationships_affected""]",True,
reports/master_audit/20260515_124659/invalidating_rule_audit.csv,master_audit/invalidating_rule_audit,82,"[""relationship_id"", ""question_a"", ""question_b"", ""audit_group"", ""context_space_id"", ""lane"", ""blocked_as_analysis_only"", ""final_blocker"", ""note""]",True,
reports/master_audit/20260515_124659/master_audit.csv,master_audit/master_audit,35,"[""section"", ""metric"", ""value""]",True,
reports/master_audit/20260515_124659/nba_finals_conference_audit.csv,master_audit/nba_finals_conference_audit,7,"[""relationship_id"", ""market_id_a"", ""market_id_b"", ""question_a"", ""question_b"", ""relationship_type"", ""relationship_subtype"", ""relationship_family"", ""context_space_id"", ""context_rules_applied"", ""lane"", ""confidence"", ""coverage_score_a"", ""coverage_score_b"", ""coverage_score_pair"", ""aligned_ticks"", ""gross_violations"", ""positions_opened"", ""non_diagnostic_positions_opened"", ""realized_pnl"", ""mtm_pnl"", ""final_blocker"", ""taxonomy_mapping_worked"", ""reached_reviewed_lane"", ""traded_non_diagnostic""]",True,
reports/master_audit/20260515_124659/top_violating_relationships.csv,master_audit/top_violating_relationships,25,"[""relationship_id"", ""market_id_a"", ""market_id_b"", ""question_a"", ""question_b"", ""relationship_type"", ""relationship_subtype"", ""relationship_family"", ""context_space_id"", ""context_rules_applied"", ""lane"", ""confidence"", ""coverage_score_a"", ""coverage_score_b"", ""coverage_score_pair"", ""aligned_ticks"", ""gross_violations"", ""positions_opened"", ""non_diagnostic_positions_opened"", ""realized_pnl"", ""mtm_pnl"", ""final_blocker""]",True,
reports/context_rules/20260515_105528_403bbd/context_documents.csv,reports/context_rules/20260515_105528_403bbd/context_documents,7,"[""context_document_id"", ""context_source_id"", ""context_space_id"", ""url"", ""title"", ""retrieved_at_ms"", ""raw_path"", ""cleaned_text_path"", ""content_excerpt"", ""content_hash"", ""extraction_status"", ""error_message"", ""schema_version"", ""ingested_ts_ms""]",True,
reports/context_rules/20260515_105528_403bbd/context_rules.csv,reports/context_rules/20260515_105528_403bbd/context_rules,7,"[""context_rule_id"", ""context_space_id"", ""context_type"", ""rule_type"", ""rule_json"", ""source_document_ids_json"", ""quoted_evidence_json"", ""confidence"", ""needs_manual_review"", ""human_review_status"", ""human_review_notes"", ""valid_from_ms"", ""valid_to_ms"", ""extraction_model"", ""extraction_prompt_version"", ""schema_version"", ""ingested_ts_ms""]",True,
reports/context_rules/20260515_105528_403bbd/context_sources.csv,reports/context_rules/20260515_105528_403bbd/context_sources,7,"[""context_source_id"", ""context_space_id"", ""source_type"", ""source_tier"", ""title"", ""url"", ""domain"", ""publisher"", ""retrieved_at_ms"", ""effective_start_ms"", ""effective_end_ms"", ""raw_path"", ""content_hash"", ""status"", ""schema_version"", ""ingested_ts_ms""]",True,
reports/context_rules/20260515_105528_403bbd/failed_extractions.csv,reports/context_rules/20260515_105528_403bbd/failed_extractions,0,,False,empty file
reports/context_rules/20260515_105528_403bbd/rules_needing_review.csv,reports/context_rules/20260515_105528_403bbd/rules_needing_review,0,,False,empty file
reports/context_classification_audit/20260515_105532_0750e4/context_missing.csv,reports/context_classification_audit/20260515_105532_0750e4/context_missing,87,"[""decision_id"", ""relationship_id"", ""context_space_id"", ""context_rule_ids_json"", ""previous_validation_status"", ""new_validation_status"", ""previous_strategy_eligibility"", ""new_strategy_eligibility"", ""strategy_lane"", ""decision_reason"", ""evidence_summary"", ""schema_version"", ""ingested_ts_ms"", ""market_id_a"", ""market_id_b"", ""question_a"", ""question_b"", ""relationship_type"", ""relationship_subtype"", ""relationship_family""]",True,
reports/context_classification_audit/20260515_105532_0750e4/downgraded_relationships.csv,reports/context_classification_audit/20260515_105532_0750e4/downgraded_relationships,46,"[""decision_id"", ""relationship_id"", ""context_space_id"", ""context_rule_ids_json"", ""previous_validation_status"", ""new_validation_status"", ""previous_strategy_eligibility"", ""new_strategy_eligibility"", ""strategy_lane"", ""decision_reason"", ""evidence_summary"", ""schema_version"", ""ingested_ts_ms"", ""market_id_a"", ""market_id_b"", ""question_a"", ""question_b"", ""relationship_type"", ""relationship_subtype"", ""relationship_family""]",True,
reports/context_classification_audit/20260515_105532_0750e4/false_positive_prevention.csv,reports/context_classification_audit/20260515_105532_0750e4/false_positive_prevention,46,"[""decision_id"", ""relationship_id"", ""context_space_id"", ""context_rule_ids_json"", ""previous_validation_status"", ""new_validation_status"", ""previous_strategy_eligibility"", ""new_strategy_eligibility"", ""strategy_lane"", ""decision_reason"", ""evidence_summary"", ""schema_version"", ""ingested_ts_ms"", ""market_id_a"", ""market_id_b"", ""question_a"", ""question_b"", ""relationship_type"", ""relationship_subtype"", ""relationship_family""]",True,
reports/context_classification_audit/20260515_105532_0750e4/manual_review_queue.csv,reports/context_classification_audit/20260515_105532_0750e4/manual_review_queue,0,"[""decision_id"", ""relationship_id"", ""context_space_id"", ""context_rule_ids_json"", ""previous_validation_status"", ""new_validation_status"", ""previous_strategy_eligibility"", ""new_strategy_eligibility"", ""strategy_lane"", ""decision_reason"", ""evidence_summary"", ""schema_version"", ""ingested_ts_ms"", ""market_id_a"", ""market_id_b"", ""question_a"", ""question_b"", ""relationship_type"", ""relationship_subtype"", ""relationship_family""]",True,
reports/context_classification_audit/20260515_105532_0750e4/relationship_context_decisions.csv,reports/context_classification_audit/20260515_105532_0750e4/relationship_context_decisions,5214,"[""decision_id"", ""relationship_id"", ""context_space_id"", ""context_rule_ids_json"", ""previous_validation_status"", ""new_validation_status"", ""previous_strategy_eligibility"", ""new_strategy_eligibility"", ""strategy_lane"", ""decision_reason"", ""evidence_summary"", ""schema_version"", ""ingested_ts_ms"", ""market_id_a"", ""market_id_b"", ""question_a"", ""question_b"", ""relationship_type"", ""relationship_subtype"", ""relationship_family""]",True,
reports/context_classification_audit/20260515_105532_0750e4/upgraded_relationships.csv,reports/context_classification_audit/20260515_105532_0750e4/upgraded_relationships,10,"[""decision_id"", ""relationship_id"", ""context_space_id"", ""context_rule_ids_json"", ""previous_validation_status"", ""new_validation_status"", ""previous_strategy_eligibility"", ""new_strategy_eligibility"", ""strategy_lane"", ""decision_reason"", ""evidence_summary"", ""schema_version"", ""ingested_ts_ms"", ""market_id_a"", ""market_id_b"", ""question_a"", ""question_b"", ""relationship_type"", ""relationship_subtype"", ""relationship_family""]",True,
reports/context_strategy_backtests/reviewed_context_low_conf/analysis_only_relationships.csv,reports/context_strategy_backtests/reviewed_context_low_conf/analysis_only_relationships,230,"[""decision_id"", ""relationship_id"", ""context_space_id"", ""context_rule_ids_json"", ""previous_validation_status"", ""new_validation_status"", ""previous_strategy_eligibility"", ""new_strategy_eligibility"", ""strategy_lane"", ""decision_reason"", ""evidence_summary"", ""schema_version"", ""ingested_ts_ms""]",True,
reports/context_strategy_backtests/reviewed_context_low_conf/exploratory_trades.csv,reports/context_strategy_backtests/reviewed_context_low_conf/exploratory_trades,0,,False,empty file
reports/context_strategy_backtests/reviewed_context_low_conf/rejected_candidates.csv,reports/context_strategy_backtests/reviewed_context_low_conf/rejected_candidates,9,"[""context_space_id"", ""market_id_a"", ""market_id_b"", ""rejection_reason"", ""relationship_id"", ""relationship_subtype"", ""relationship_type"", ""strategy_lane""]",True,
reports/context_strategy_backtests/reviewed_context_low_conf/reviewed_trades.csv,reports/context_strategy_backtests/reviewed_context_low_conf/reviewed_trades,4,"[""candidate_id"", ""context_space_id"", ""execution_model"", ""fees_usdc"", ""fill_price"", ""fill_ts_ms"", ""holdout_bucket"", ""leg"", ""market_id"", ""notional_usdc"", ""relationship_id"", ""run_id"", ""shares"", ""side"", ""slippage_cost_usdc"", ""strategy_lane"", ""token_id"", ""trade_id""]",True,
reports/context_strategy_backtests/reviewed_context_low_conf/sensitivity_grid.csv,reports/context_strategy_backtests/reviewed_context_low_conf/sensitivity_grid,24,"[""credibility_label"", ""fee_bps"", ""lane"", ""min_net_edge"", ""min_relationship_confidence"", ""net_pnl_usdc"", ""slippage_bps"", ""trades_executed""]",True,
reports/context_strategy_backtests/reviewed_context_low_conf/strict_trades.csv,reports/context_strategy_backtests/reviewed_context_low_conf/strict_trades,0,,False,empty file
reports/context_strategy_backtests/post_rule_approval_strict/analysis_only_relationships.csv,reports/context_strategy_backtests/post_rule_approval_strict/analysis_only_relationships,184,"[""decision_id"", ""relationship_id"", ""context_space_id"", ""context_rule_ids_json"", ""previous_validation_status"", ""new_validation_status"", ""previous_strategy_eligibility"", ""new_strategy_eligibility"", ""strategy_lane"", ""decision_reason"", ""evidence_summary"", ""schema_version"", ""ingested_ts_ms""]",True,
reports/context_strategy_backtests/post_rule_approval_strict/exploratory_trades.csv,reports/context_strategy_backtests/post_rule_approval_strict/exploratory_trades,0,,False,empty file
