source_file,source_section,source_row_number,issue,severity,file_or_command,recommended_fix,blocking_credible_backtest,context_rule_id,context_space_id,rule_type,rule_family,role,human_review_status,needs_manual_review,relationships_affected,relationship_id,question_a,question_b,audit_group,lane,blocked_as_analysis_only,final_blocker,note,section,metric,value,market_id_a,market_id_b,relationship_type,relationship_subtype,relationship_family,context_rules_applied,confidence,coverage_score_a,coverage_score_b,coverage_score_pair,aligned_ticks,gross_violations,positions_opened,non_diagnostic_positions_opened,realized_pnl,mtm_pnl,taxonomy_mapping_worked,reached_reviewed_lane,traded_non_diagnostic,context_document_id,context_source_id,url,title,retrieved_at_ms,raw_path,cleaned_text_path,content_excerpt,content_hash,extraction_status,error_message,schema_version,ingested_ts_ms,context_type,rule_json,source_document_ids_json,quoted_evidence_json,human_review_notes,valid_from_ms,valid_to_ms,extraction_model,extraction_prompt_version,source_type,source_tier,domain,publisher,effective_start_ms,effective_end_ms,status,decision_id,context_rule_ids_json,previous_validation_status,new_validation_status,previous_strategy_eligibility,new_strategy_eligibility,strategy_lane,decision_reason,evidence_summary,rejection_reason,candidate_id,execution_model,fees_usdc,fill_price,fill_ts_ms,holdout_bucket,leg,market_id,notional_usdc,run_id,shares,side,slippage_cost_usdc,token_id,trade_id,credibility_label,fee_bps,min_net_edge,min_relationship_confidence,net_pnl_usdc,slippage_bps,trades_executed,token_id_a_yes,token_id_b_yes,validation_status,final_confidence,strategy_eligibility_status,gamma_exists_a,gamma_exists_b,price_history_exists_a,price_history_exists_b,tick_count_a,tick_count_b,aligned_tick_count,routing_note,label,cash_usdc,equity_usdc,ts_ms,accepted_for_simulation,estimated_fee,estimated_slippage,execution_model_confidence,expected_payout_json,gross_edge,inequality_violated,net_edge_after_costs,price_a,price_a_ts_ms,price_b,price_b_ts_ms,signal_ts_ms,simulated_position_json,stake_usdc,theoretical_edge,token_id_a,token_id_b,close_reason,close_ts_ms,fill_id,leg_a_close_price,leg_a_entry_cost,leg_a_proceeds,leg_a_shares,leg_a_token_id,leg_b_close_price,leg_b_entry_cost,leg_b_proceeds,leg_b_shares,leg_b_token_id,position_id,realized_pnl_usdc,slippage_usdc,has_price_history,mark_to_market_pnl_usdc,tick_count,trades_closed,trades_opened
reports/master_audit/20260515_124552/action_items.csv,master_audit/action_items,1,Diagnostic comparison is positive but not credible evidence,info,post_rule_approval_diagnostic,Use it only to prioritize data/context fixes; do not headline it.,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reports/master_audit/20260515_124552/context_rules.csv,master_audit/context_rules,1,,,,,,nba_world_championship_conference_v1,nba_championship_conference_progression,championship_implies_conference,world_context,enabling,approved,True,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reports/master_audit/20260515_124552/context_rules.csv,master_audit/context_rules,2,,,,,,nba_terms_same_scope_v1,nba_championship_conference_progression,market_terms_same_league_scope,market_terms,enabling,approved,True,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reports/master_audit/20260515_124552/context_rules.csv,master_audit/context_rules,3,,,,,,epl_world_exact_topn_v1,premier_league_finish_position,exact_finish_implies_top_n,world_context,enabling,approved,True,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reports/master_audit/20260515_124552/context_rules.csv,master_audit/context_rules,4,,,,,,epl_world_exact_exclusive_v1,premier_league_finish_position,exact_finish_positions_mutually_exclusive,world_context,enabling,approved,True,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reports/master_audit/20260515_124552/context_rules.csv,master_audit/context_rules,5,,,,,,epl_terms_same_scope_v1,premier_league_finish_position,market_terms_exact_finish_scope,market_terms,enabling,approved,True,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reports/master_audit/20260515_124552/context_rules.csv,master_audit/context_rules,6,,,,,,same_reference_not_tradeable_v1,same_reference_clock_before_gta_vi,shared_reference_not_tradeable,invalidating,invalidating,approved,True,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reports/master_audit/20260515_124552/context_rules.csv,master_audit/context_rules,7,,,,,,us_nomination_general_not_deterministic_v1,us_2028_presidential_nomination_general,nomination_general_not_deterministic,invalidating,invalidating,approved,True,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reports/master_audit/20260515_124552/invalidating_rule_audit.csv,master_audit/invalidating_rule_audit,1,,,,,,,us_2028_presidential_nomination_general,,,,,,,d83ea6ad30dbdbf28a07297bbba46ff2,Will James Talarico win the 2028 Democratic presidential nomination?,Will James Talarico win the 2028 US Presidential Election?,nomination/general,analysis_only,True,not_strategy_eligible (ineligible),"intentionally analysis-only, not a missed opportunity",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reports/master_audit/20260515_124552/invalidating_rule_audit.csv,master_audit/invalidating_rule_audit,2,,,,,,,us_2028_presidential_nomination_general,,,,,,,9003ce2e15bbe67795cee885e20fcca1,Will Jon Ossoff win the 2028 Democratic presidential nomination?,Will Jon Ossoff win the 2028 US Presidential Election?,nomination/general,analysis_only,True,not_strategy_eligible (ineligible),"intentionally analysis-only, not a missed opportunity",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
