relationship_id,market_id_a,market_id_b,type,family,status,strategy_eligibility,question_a,question_b,final_confidence,entity_score,time_score,threshold,candidate_a,candidate_b,shared_event
cc376429463d78167ad174e43317b2d3,559690,562003,contradiction,contradiction,needs_manual_review,eligible,Will Kim Kardashian win the 2028 Democratic presidential nomination?,Will Kim Kardashian win the 2028 Republican presidential nomination?,0.5283,0.775,1.0,,,,
8b937b1b819dbf225c72414c3b5653d9,559686,561252,contradiction,contradiction,needs_manual_review,eligible,Will Dwayne 'The Rock' Johnson win the 2028 Democratic presidential nomination?,Will Dwayne 'The Rock' Johnson win the 2028 US Presidential Election?,0.4517,0.8,1.0,,,,
656c1df5bb31997622521bc9e9f0adc6,540819,540843,same_reference_clock,temporal,needs_manual_review,ineligible,Will Jesus Christ return before GTA VI?,Will China invades Taiwan before GTA VI?,0.42,0.0,1.0,,,,
3510fa79844874170bc5aa27001fd3f9,540818,540843,same_reference_clock,temporal,needs_manual_review,ineligible,New Playboi Carti Album before GTA VI?,Will China invades Taiwan before GTA VI?,0.42,0.0,1.0,,,,
9f8979f5595d8799aa56516df800886a,540817,540843,same_reference_clock,temporal,needs_manual_review,ineligible,New Rihanna Album before GTA VI?,Will China invades Taiwan before GTA VI?,0.42,0.0,1.0,,,,
a38a46b0aa9e43da32288b6491f29802,540843,540844,same_reference_clock,temporal,needs_manual_review,ineligible,Will China invades Taiwan before GTA VI?,Will bitcoin hit $1m before GTA VI?,0.42,0.0,1.0,,,,
2fc7c0bfadee801d685006086656d299,540820,540843,same_reference_clock,temporal,needs_manual_review,ineligible,Trump out as President before GTA VI?,Will China invades Taiwan before GTA VI?,0.42,0.0,1.0,,,,
ce1403a76b3c8a70b5e36e97d0a18741,561234,561975,inverse,contradiction,needs_manual_review,eligible,Will Marco Rubio win the 2028 US Presidential Election?,Will Marco Rubio win the 2028 Republican presidential nomination?,0.4138,0.8,1.0,,,,
d6f3e0670c0e7765406d5af2709303ed,561245,561980,contradiction,contradiction,needs_manual_review,eligible,Will Nikki Haley win the 2028 US Presidential Election?,Will Nikki Haley win the 2028 Republican presidential nomination?,0.4052,0.8,1.0,,,,
4ceb6c57b9a9908fcbbbe636c2b57b9d,559658,561239,contradiction,contradiction,needs_manual_review,eligible,Will Kamala Harris win the 2028 Democratic presidential nomination?,Will Kamala Harris win the 2028 US Presidential Election?,0.4017,0.775,1.0,,,,
