relationship_id,question_a,question_b,audit_group,context_space_id,lane,blocked_as_analysis_only,final_blocker,note
d83ea6ad30dbdbf28a07297bbba46ff2,Will James Talarico win the 2028 Democratic presidential nomination?,Will James Talarico win the 2028 US Presidential Election?,nomination/general,us_2028_presidential_nomination_general,analysis_only,True,not_strategy_eligible (ineligible),"intentionally analysis-only, not a missed opportunity"
9003ce2e15bbe67795cee885e20fcca1,Will Jon Ossoff win the 2028 Democratic presidential nomination?,Will Jon Ossoff win the 2028 US Presidential Election?,nomination/general,us_2028_presidential_nomination_general,analysis_only,True,not_strategy_eligible (ineligible),"intentionally analysis-only, not a missed opportunity"
656c1df5bb31997622521bc9e9f0adc6,Will Jesus Christ return before GTA VI?,Will China invades Taiwan before GTA VI?,same-reference GTA VI,same_reference_clock_before_gta_vi,analysis_only,True,not_strategy_eligible (ineligible),"intentionally analysis-only, not a missed opportunity"
9f8979f5595d8799aa56516df800886a,New Rihanna Album before GTA VI?,Will China invades Taiwan before GTA VI?,same-reference GTA VI,same_reference_clock_before_gta_vi,analysis_only,True,not_strategy_eligible (ineligible),"intentionally analysis-only, not a missed opportunity"
eb2787e350b8e0294d593c91947117e4,Will China invades Taiwan before GTA VI?,Will GPT-6 be released before GTA VI?,same-reference GTA VI,same_reference_clock_before_gta_vi,analysis_only,True,not_strategy_eligible (ineligible),"intentionally analysis-only, not a missed opportunity"
a38a46b0aa9e43da32288b6491f29802,Will China invades Taiwan before GTA VI?,Will bitcoin hit $1m before GTA VI?,same-reference GTA VI,same_reference_clock_before_gta_vi,analysis_only,True,not_strategy_eligible (ineligible),"intentionally analysis-only, not a missed opportunity"
2fc7c0bfadee801d685006086656d299,Trump out as President before GTA VI?,Will China invades Taiwan before GTA VI?,same-reference GTA VI,same_reference_clock_before_gta_vi,analysis_only,True,not_strategy_eligible (ineligible),"intentionally analysis-only, not a missed opportunity"
3510fa79844874170bc5aa27001fd3f9,New Playboi Carti Album before GTA VI?,Will China invades Taiwan before GTA VI?,same-reference GTA VI,same_reference_clock_before_gta_vi,analysis_only,True,not_strategy_eligible (ineligible),"intentionally analysis-only, not a missed opportunity"
ce1403a76b3c8a70b5e36e97d0a18741,Will Marco Rubio win the 2028 US Presidential Election?,Will Marco Rubio win the 2028 Republican presidential nomination?,nomination/general,us_2028_presidential_nomination_general,analysis_only,True,not_strategy_eligible (ineligible),"intentionally analysis-only, not a missed opportunity"
eafa282f1fe3c2034c6e7000af2a36f1,Will Donald Trump Jr. win the 2028 US Presidential Election?,Will Donald Trump Jr. win the 2028 Republican presidential nomination?,nomination/general,us_2028_presidential_nomination_general,analysis_only,True,not_strategy_eligible (ineligible),"intentionally analysis-only, not a missed opportunity"
3c4c4d4734389fadaed96d4f40e0c654,Will Elon Musk win the 2028 US Presidential Election?,Will Elon Musk win the 2028 Republican presidential nomination?,nomination/general,us_2028_presidential_nomination_general,analysis_only,True,not_strategy_eligible (ineligible),"intentionally analysis-only, not a missed opportunity"
eb3a5dbeda50cda3d8ebb7efb0ec27ac,Will LeBron James win the 2028 Democratic presidential nomination?,Will LeBron James win the 2028 US Presidential Election?,nomination/general,us_2028_presidential_nomination_general,analysis_only,True,not_strategy_eligible (ineligible),"intentionally analysis-only, not a missed opportunity"
d6f3e0670c0e7765406d5af2709303ed,Will Nikki Haley win the 2028 US Presidential Election?,Will Nikki Haley win the 2028 Republican presidential nomination?,nomination/general,us_2028_presidential_nomination_general,analysis_only,True,not_strategy_eligible (ineligible),"intentionally analysis-only, not a missed opportunity"
8b937b1b819dbf225c72414c3b5653d9,Will Dwayne 'The Rock' Johnson win the 2028 Democratic presidential nomination?,Will Dwayne 'The Rock' Johnson win the 2028 US Presidential Election?,nomination/general,us_2028_presidential_nomination_general,analysis_only,True,not_strategy_eligible (ineligible),"intentionally analysis-only, not a missed opportunity"
4ceb6c57b9a9908fcbbbe636c2b57b9d,Will Kamala Harris win the 2028 Democratic presidential nomination?,Will Kamala Harris win the 2028 US Presidential Election?,nomination/general,us_2028_presidential_nomination_general,analysis_only,True,not_strategy_eligible (ineligible),"intentionally analysis-only, not a missed opportunity"
e5267754e49a11237e3cd6f4d4a5eda2,Will Zohran Mamdani win the 2028 Democratic presidential nomination?,Will Zohran Mamdani win the 2028 US Presidential Election?,nomination/general,us_2028_presidential_nomination_general,analysis_only,True,not_strategy_eligible (ineligible),"intentionally analysis-only, not a missed opportunity"
8cd78a1977f5200ff342e072bdd6bf15,Will Michelle Obama win the 2028 Democratic presidential nomination?,Will Michelle Obama win the 2028 US Presidential Election?,nomination/general,us_2028_presidential_nomination_general,analysis_only,True,not_strategy_eligible (ineligible),"intentionally analysis-only, not a missed opportunity"
67702d888fa0ce85614d831561f2d55b,Will Alexandria Ocasio-Cortez win the 2028 Democratic presidential nomination?,Will Alexandria Ocasio-Cortez win the 2028 US Presidential Election?,nomination/general,us_2028_presidential_nomination_general,analysis_only,True,not_strategy_eligible (ineligible),"intentionally analysis-only, not a missed opportunity"
671c63a001cfdfe037255346d48f4dd6,Will Andy Beshear win the 2028 Democratic presidential nomination?,Will Andy Beshear win the 2028 US Presidential Election?,nomination/general,us_2028_presidential_nomination_general,analysis_only,True,not_strategy_eligible (ineligible),"intentionally analysis-only, not a missed opportunity"
9814f0b1f2c1e137cdd0f01081c9d79d,Will Vivek Ramaswamy win the 2028 US Presidential Election?,Will Vivek Ramaswamy win the 2028 Republican presidential nomination?,nomination/general,us_2028_presidential_nomination_general,analysis_only,True,not_strategy_eligible (ineligible),"intentionally analysis-only, not a missed opportunity"
7b13eefd6d90d2688ac31722ff8efe17,Will Thomas Massie win the 2028 US Presidential Election?,Will Thomas Massie win the 2028 Republican presidential nomination?,nomination/general,us_2028_presidential_nomination_general,analysis_only,True,not_strategy_eligible (ineligible),"intentionally analysis-only, not a missed opportunity"
5b9170e0c89e0e7ad7bb127a5796d918,Will Tim Walz win the 2028 Democratic presidential nomination?,Will Tim Walz win the 2028 US Presidential Election?,nomination/general,us_2028_presidential_nomination_general,analysis_only,True,not_strategy_eligible (ineligible),"intentionally analysis-only, not a missed opportunity"
1c302d09aad4deb9ff7250e3c822df1d,Will Glenn Youngkin win the 2028 US Presidential Election?,Will Glenn Youngkin win the 2028 Republican presidential nomination?,nomination/general,us_2028_presidential_nomination_general,analysis_only,True,not_strategy_eligible (ineligible),"intentionally analysis-only, not a missed opportunity"
2d911c0905127bffd7fd430f4b610760,Will Pete Buttigieg win the 2028 Democratic presidential nomination?,Will Pete Buttigieg win the 2028 US Presidential Election?,nomination/general,us_2028_presidential_nomination_general,analysis_only,True,not_strategy_eligible (ineligible),"intentionally analysis-only, not a missed opportunity"
d1665f8688af505f6969f6abefb096d6,Will Ro Khanna win the 2028 Democratic presidential nomination?,Will Ro Khanna win the 2028 US Presidential Election?,nomination/general,us_2028_presidential_nomination_general,analysis_only,True,not_strategy_eligible (ineligible),"intentionally analysis-only, not a missed opportunity"
a32d8d6605c4ff9fc8381752bb637f2e,Will Josh Shapiro win the 2028 Democratic presidential nomination?,Will Josh Shapiro win the 2028 US Presidential Election?,nomination/general,us_2028_presidential_nomination_general,analysis_only,True,not_strategy_eligible (ineligible),"intentionally analysis-only, not a missed opportunity"
